gene	tpm
YAL001C	11.7333
YAL002W	12.4477
YAL003W	1311.308
YAL004W	2.85985
YAL005C	444.156
YAL007C	115.0577
YAL008W	18.65843
YAL009W	17.14062
YAL010C	8.94442
YAL011W	5.9608
YAL012W	246.778
YAL013W	7.82067
YAL014C	23.96536
YAL015C	10.27184
YAL016C-A	3.92903
YAL016C-B	4.44586
YAL016W	60.380248
YAL017W	15.0752
YAL018C	0.0286177
YAL019W	27.7119
YAL019W-A	1.09085
YAL020C	15.1032
YAL021C	38.2379
YAL022C	28.77031
YAL023C	142.28100960465
YAL024C	8.51529
YAL025C	34.46984
YAL026C	34.6753
YAL026C-A	22.6086
YAL027W	8.0067
YAL028W	3.301410234219
YAL029C	32.4714
YAL030W	55.6056
YAL031C	9.12053
YAL031W-A	6.12919
YAL032C	13.52891
YAL033W	39.383
YAL034C	8.74851
YAL034C-B	0.40125
YAL034W-A	5.80879
YAL035W	118.7293
YAL036C	69.5579
YAL037C-A	0
YAL037C-B	0
YAL037W	3.42309
YAL038W	4597.35
YAL039C	21.6488
YAL040C	20.68517
YAL041W	21.84867614
YAL042C-A	13.1854
YAL042W	133.9977
YAL043C	23.5125
YAL044C	127.884
YAL044W-A	44.8217
YAL045C	1.11539e-07
YAL046C	26.91423
YAL047C	6.361698604
YAL047W-A	1.01234
YAL048C	5.41408
YAL049C	47.1087
YAL051W	10.1489
YAL053W	35.0199
YAL054C	4.96463
YAL055W	8.06665
YAL056C-A	0
YAL056W	17.66361
YAL058W	15.97466
YAL059C-A	0
YAL059W	51.0195
YAL060W	28.74889
YAL061W	10.039989
YAL062W	6.868916
YAL063C	3.77175
YAL063C-A	2.62139
YAL064C-A	4.54228
YAL064W	2.94336
YAL064W-B	2.4691
YAL065C	5.04686
YAL066W	0.156946
YAL067C	0.848683
YAL067W-A	0
YAL068C	0
YAL068W-A	0
YAL069W	0
YAR002C-A	183.4219
YAR002W	27.84858
YAR003W	15.84196
YAR007C	28.0018601
YAR008W	12.52953
YAR009C	62.0876
YAR010C	197.214
YAR014C	28.388406
YAR015W	92.4483
YAR018C	10.76848
YAR019C	6.62889
YAR019W-A	1.26993
YAR020C	4.6109
YAR023C	4.2208
YAR027W	23.8759485
YAR028W	11.72636
YAR029W	7.38056
YAR030C	2.31751
YAR031W	11.4615
YAR033W	12.458600114647
YAR035C-A	0
YAR035W	2.03315
YAR042W	23.3594
YAR047C	6.57432
YAR050W	2.83753
YAR053W	2.20405
YAR060C	6.90326
YAR064W	8.83217
YAR066W	4.82864
YAR068W	5.53596
YAR069C	1.29675
YAR070C	0.886852
YAR071W	3.85979
YAR073W	0.0461855
YAR075W	0.0762704
YBL001C	135.6493
YBL002W	524.489
YBL003C	206.6184
YBL004W	71.4224
YBL005W	16.2866
YBL005W-A	54.0197
YBL005W-B	185.222
YBL006C	42.31862012
YBL006W-A	0
YBL007C	70.2568
YBL008W	10.95812
YBL008W-A	0.266201
YBL009W	16.30359
YBL010C	10.60479
YBL011W	37.29494
YBL012C	12.1933
YBL013W	4.03779
YBL014C	16.415445
YBL015W	14.16006
YBL016W	34.0285
YBL017C	60.8809
YBL018C	24.99194
YBL019W	5.05727
YBL020W	28.89337
YBL021C	17.23522
YBL022C	55.4074
YBL023C	17.61929
YBL024W	80.3103
YBL025W	7.75579
YBL026W	91.9973
YBL027W	1863.9852
YBL028C	83.1286
YBL029C-A	21.33932
YBL029W	6.11706
YBL030C	86.9263
YBL031W	7.09983
YBL032W	65.874000173597
YBL033C	28.0889
YBL034C	10.7113
YBL035C	11.73419
YBL036C	63.20116
YBL037W	10.0995
YBL038W	34.6916
YBL039C	170.872
YBL039C-A	27.6864
YBL039W-B	8.85981
YBL040C	78.2636
YBL041W	109.7229
YBL042C	39.3098
YBL043W	2.98949401
YBL044W	0.907407
YBL045C	44.8306
YBL046W	8.9763
YBL047C	63.324059
YBL048W	8.47862
YBL049W	9.22404
YBL050W	40.0592
YBL051C	28.58896717
YBL052C	13.0996
YBL053W	3.09896
YBL054W	21.30163
YBL055C	28.3969
YBL056W	74.0927
YBL057C	52.4468
YBL058W	75.0569
YBL059C-A	30.14534
YBL059W	8.14956
YBL060W	5.91572
YBL061C	19.95866
YBL062W	15.6943
YBL063W	7.92817
YBL064C	31.4766
YBL065W	2.59426
YBL066C	7.48769
YBL067C	32.2615
YBL068W	38.3492
YBL068W-A	10.6862
YBL069W	13.9623
YBL070C	10.4966
YBL071C	11.1222
YBL071C-B	2.00878
YBL071W-A	37.2846
YBL072C	906.056
YBL073W	3.52906
YBL074C	5.74364
YBL075C	8.86059
YBL076C	343.74
YBL077W	36.1167
YBL078C	17.3094
YBL079W	39.1286
YBL080C	6.3084485
YBL081W	6.44586
YBL082C	16.053122134
YBL083C	5.12069
YBL084C	9.11825
YBL085W	21.03590713729
YBL086C	9.97468
YBL087C	1124.3967
YBL088C	7.8159
YBL089W	13.66992
YBL090W	22.7722
YBL091C	84.5362
YBL091C-A	19.33209
YBL092W	1371.846
YBL093C	34.5845
YBL094C	0
YBL095W	12.944565
YBL096C	8.8466
YBL097W	6.70057
YBL098W	10.9052
YBL099W	111.6274
YBL100C	0
YBL100W-A	0
YBL100W-B	5.18182
YBL100W-C	132.492
YBL101C	15.621
YBL102W	45.3454
YBL103C	10.01528
YBL104C	13.0071
YBL105C	23.7785000131722
YBL106C	10.9635
YBL107C	18.08695
YBL107W-A	57.4574
YBL108C-A	0
YBL108W	0.319818
YBL109W	0.137642
YBL111C	2.73577
YBL112C	3.89103
YBL113C	5.35135
YBL113W-A	0
YBR001C	10.4757
YBR002C	33.16412
YBR003W	22.72486
YBR004C	20.23449
YBR005W	23.87197
YBR006W	9.118911
YBR007C	6.491612
YBR008C	10.40083318
YBR009C	422.516
YBR010W	392.122
YBR011C	662.996
YBR012C	16.96
YBR012W-A	33.4595
YBR012W-B	16.7728
YBR013C	10.7266
YBR014C	24.37044
YBR015C	82.5438
YBR016W	44.2035
YBR017C	51.7186
YBR018C	1.86414
YBR019C	2.80905
YBR020W	0.000719984
YBR021W	7.91376
YBR022W	16.08564
YBR023C	42.1446
YBR024W	5.059147
YBR025C	417.785
YBR026C	36.07498467
YBR027C	0
YBR028C	19.60608
YBR029C	40.80934
YBR030W	14.83734
YBR031W	1119.759
YBR032W	11.5735
YBR033W	3.412
YBR034C	120.7044
YBR035C	72.4954
YBR036C	66.5437
YBR037C	22.72073
YBR038W	20.09298
YBR039W	78.371
YBR040W	2.41576
YBR041W	35.23494
YBR042C	27.4233
YBR043C	9.80223
YBR044C	10.8965
YBR045C	1.70965
YBR046C	15.79681
YBR047W	5.38647
YBR048W	1090.423
YBR049C	24.88277804
YBR050C	2.78531
YBR051W	0
YBR052C	64.0582
YBR053C	28.21363
YBR054W	32.0366
YBR055C	13.748969
YBR056C-B	0
YBR056W	23.77179
YBR056W-A	14.9205793
