gene	tpm
YAL001C	20.0322
YAL002W	28.525
YAL003W	1652.694
YAL004W	14.7334
YAL005C	6592.89
YAL007C	119.1899
YAL008W	67.017
YAL009W	33.52368
YAL010C	13.8148
YAL011W	11.28102
YAL012W	419.29
YAL013W	11.7568
YAL014C	56.2414
YAL015C	30.337
YAL016C-A	6.86336
YAL016C-B	3.09669
YAL016W	83.99743
YAL017W	27.4449
YAL018C	0.503057
YAL019W	34.2009
YAL019W-A	2.64537
YAL020C	29.70322
YAL021C	49.2821
YAL022C	50.13935
YAL023C	178.1463405
YAL024C	11.5933
YAL025C	47.0561
YAL026C	44.867
YAL026C-A	29.5372
YAL027W	13.16076
YAL028W	4.9522677
YAL029C	51.2154
YAL030W	141.8384
YAL031C	14.492294633
YAL031W-A	9.93447
YAL032C	24.1878
YAL033W	44.3162
YAL034C	13.7979
YAL034C-B	0.264666
YAL034W-A	7.16941
YAL035W	106.1923
YAL036C	73.0785
YAL037C-A	0
YAL037C-B	0
YAL037W	6.51192
YAL038W	5131.9
YAL039C	46.995600530742
YAL040C	18.427807
YAL041W	36.95287
YAL042C-A	32.3344
YAL042W	187.2161
YAL043C	38.1616
YAL044C	369.389
YAL044W-A	99.123
YAL045C	5.07831
YAL046C	46.07067
YAL047C	10.26442056
YAL047W-A	1.81471
YAL048C	11.4227
YAL049C	101.8092
YAL051W	17.9832
YAL053W	90.6501
YAL054C	11.6035
YAL055W	15.98268
YAL056C-A	0
YAL056W	25.7043
YAL058W	33.0388
YAL059C-A	0
YAL059W	69.832
YAL060W	122.5951
YAL061W	13.93948
YAL062W	16.92934
YAL063C	8.42344
YAL063C-A	6.02686
YAL064C-A	8.55338
YAL064W	5.27708
YAL064W-B	5.45036
YAL065C	6.56295
YAL066W	0.249251
YAL067C	3.49976
YAL067W-A	0
YAL068C	0
YAL068W-A	0
YAL069W	0
YAR002C-A	226.8917
YAR002W	40.1931
YAR003W	21.33795
YAR007C	44.7193
YAR008W	10.92869
YAR009C	47.2727
YAR010C	145.661
YAR014C	38.73729
YAR015W	106.9903
YAR018C	20.01809
YAR019C	10.6628
YAR019W-A	3.24389
YAR020C	6.1028
YAR023C	7.195080972598
YAR027W	47.5289
YAR028W	18.75107
YAR029W	17.09877
YAR030C	4.8952
YAR031W	18.4105
YAR033W	14.3125
YAR035C-A	1.33628
YAR035W	4.66708
YAR042W	42.876
YAR047C	11.121
YAR050W	4.67573
YAR053W	5.93337
YAR060C	12.7638
YAR064W	12.2127
YAR066W	7.21111
YAR068W	9.33952
YAR069C	3.30511
YAR070C	0.755268
YAR071W	4.36719
YAR073W	0.110875
YAR075W	0
YBL001C	289.2505
YBL002W	267.3312
YBL003C	89.5128
YBL004W	65.5837
YBL005W	23.0167
YBL005W-A	41.3221
YBL005W-B	162.472
YBL006C	77.8541
YBL006W-A	0
YBL007C	134.8527
YBL008W	21.45104
YBL008W-A	0.423482
YBL009W	14.129852
YBL010C	15.182
YBL011W	58.4456
YBL012C	24.557
YBL013W	9.10911
YBL014C	31.4768
YBL015W	30.5203
YBL016W	38.8484
YBL017C	74.3979
YBL018C	23.92266
YBL019W	14.52652
YBL020W	30.9683
YBL021C	30.9376
YBL022C	145.976
YBL023C	26.6474
YBL024W	90.5741
YBL025W	14.48788
YBL026W	96.9192
YBL027W	1012.926
YBL028C	96.3824
YBL029C-A	37.81901
YBL029W	9.93449
YBL030C	87.6401
YBL031W	7.5505
YBL032W	71.4234
YBL033C	65.7703
YBL034C	15.2731
YBL035C	15.40438
YBL036C	96.3735
YBL037W	16.1139
YBL038W	74.116
YBL039C	175.085
YBL039C-A	21.4115
YBL039W-B	16.3416
YBL040C	116.4188
YBL041W	271.86
YBL042C	60.18790148154
YBL043W	19.94571
YBL044W	1.43985
YBL045C	70.5799
YBL046W	11.85878
YBL047C	107.0669
YBL048W	15.6557
YBL049W	31.3585
YBL050W	79.4706
YBL051C	34.0836
YBL052C	13.481
YBL053W	5.30809
YBL054W	39.858
YBL055C	56.6955
YBL056W	107.3019
YBL057C	93.1897
YBL058W	183.428
YBL059C-A	67.6584
YBL059W	13.4252
YBL060W	11.68734
YBL061C	33.33413
YBL062W	19.1382
YBL063W	9.70468
YBL064C	155.5362
YBL065W	3.179
YBL066C	13.7848
YBL067C	56.2864
YBL068W	59.1886
YBL068W-A	17.9958
YBL069W	28.4852
YBL070C	20.6247
YBL071C	35.0047
YBL071C-B	0.889598
YBL071W-A	134.6954
YBL072C	463.1089
YBL073W	17.6103
YBL074C	13.16905
YBL075C	164.1921
YBL076C	264.7871
YBL077W	23.4548
YBL078C	43.1563
YBL079W	52.7209
YBL080C	11.13454
YBL081W	6.001646
